Report Received Date,Manufacturer,Subject,Component,Recall Type,Potentially Affected,Park Outside Advisory ,Do Not Drive Advisory
03/01/2019,Supreme Corporation,Wheelchair Lift may Raise too High/FMVSS 403,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,20.0,No,No
12/13/2018,Frazer,Brake Lights May Randomly Illuminate,EXTERIOR LIGHTING,Vehicle,121.0,No,No
12/07/2018,"Corp. Micro Bird, Inc.","Seat Back may not Stay Upright/FMVSS 207, 210",SEATS,Vehicle,17.0,No,No
11/12/2018,"Champion Bus, Inc.","Seat Back may not Stay Upright/FMVSS 207, 210",SEATS,Vehicle,76.0,No,No
11/12/2018,"Forest River, Inc.","Seat Back may not Stay Upright/FMVSS 207, 210",SEATS,Vehicle,38.0,No,No
10/22/2018,Kovatch Mobile Equipment Corp.,Improperly Wired Warning Lights on Portable Pumps,ELECTRICAL SYSTEM,Vehicle,8.0,No,No
10/17/2018,Great Dane Trailers,Incorrect Amount of Reflective Tape/FMVSS 108,VISIBILITY,Vehicle,28.0,No,No
08/30/2018,"Corp. Micro Bird, Inc.",Wheelchair Lift may Raise too High/FMVSS 403,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,6.0,No,No
08/06/2018,Garden State Bus Group,Incorrect Location of Emergency Exit/FMVSS 217,STRUCTURE,Vehicle,20.0,No,No
05/17/2018,"Daimler Trucks North America, LLC",Wheelchair Lift can be Used when not in Park,EQUIPMENT ADAPTIVE/MOBILITY,Vehicle,6.0,No,No
02/02/2018,Triple E Recreational Vehicles,Fire Extinguisher May Be Clogged or Inoperable,EQUIPMENT,Vehicle,1159.0,No,No
12/06/2017,Travel Lite RV,Incorrect Hitch Coupler Installed,TRAILER HITCHES,Vehicle,163.0,No,No
10/16/2017,"Daimler Vans USA, LLC",Incorrect Load Capacity on Label/Part 567,EQUIPMENT,Vehicle,2.0,No,No
09/22/2017,"Forest River, Inc.",Inconsistent Adhesive On Panel Joints/FMVSS 221,STRUCTURE,Vehicle,10.0,No,No
09/22/2017,"Daimler Vans USA, LLC",Loss of Electronic Power Steering Assist,STEERING,Vehicle,3.0,No,No
07/18/2017,"Winnebago Industries, Inc.",Incorrect GAWR and GVWR Information/Part 567,EQUIPMENT,Vehicle,6.0,No,No
02/10/2017,"Daimler Vans USA, LLC",Driveshaft Catch Strap Not Installed,POWER TRAIN,Vehicle,2.0,No,No
02/10/2017,"Daimler Vans USA, LLC",Fuel Tank Protection Missing/FMVSS 301,"FUEL SYSTEM, DIESEL",Vehicle,2.0,No,No
07/01/2016,Wilson Trailer Company,Improperly Machined Trailer Spring Brake Valve,PARKING BRAKE,Vehicle,10.0,No,No
06/13/2016,East Manufacturing Corp.,Incorrect GVWR/GAWR Ratings/Part 567,EQUIPMENT,Vehicle,6.0,No,No
04/21/2016,"Strick Trailers, LLC",Rear Impact Guards/FMVSS 223,STRUCTURE,Vehicle,167.0,No,No
04/20/2016,"Forest River, Inc.",Seat May Separate From the Base Frame,SEATS,Vehicle,2.0,No,No
04/19/2016,"Forest River, Inc.",Seat May Separate From the Base Frame,SEATS,Vehicle,10.0,No,No
12/11/2015,"Trail Boss Conversions, Inc.",Water Heater May Scald Operator,EQUIPMENT,Vehicle,1.0,No,No
12/07/2015,Triple E Recreational Vehicles,Water Heater May Scald Operator,EQUIPMENT,Vehicle,2.0,No,No
11/24/2015,Wabash National Corporation,Brake Caliper Bolts may be Loose,"SERVICE BRAKES, AIR",Vehicle,91.0,No,No
10/19/2015,Volvo Trucks North America,Defective Engine Control Module may Cause Stall,ELECTRICAL SYSTEM,Vehicle,3.0,No,No
08/31/2015,"Corp. Micro Bird, Inc.",Battery Cable Feeder Stud Corrosion,ELECTRICAL SYSTEM,Vehicle,11.0,No,No
